วันที่,day_name,day_type,is_holiday,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,day_of_week,is_weekend,month,rain
2020-03-08,วันอาทิตย์,0,normal,normal,37936.0,389000.0,,170247.0,21327.0,,,0.0,6,1,3,0
2020-03-09,วันจันทร์,1,normal,normal,63262.0,710000.0,,349968.0,44929.0,,,0.0,0,0,3,0
2020-03-10,วันอังคาร,1,normal,normal,57369.0,710000.0,,352704.0,40610.0,,,0.0,1,0,3,0
2020-03-11,วันพุธ,1,normal,normal,59968.0,691000.0,,350732.0,43956.0,,,0.0,2,0,3,0
2020-03-12,วันพหัสบดี,1,normal,normal,58376.0,690000.0,,345992.0,43475.0,,,0.0,3,0,3,0
2020-03-13,วันศุกร์,1,normal,normal,58834.0,686000.0,,342285.0,43624.0,,,0.0,4,0,3,0
2020-03-14,วันเสาร์,0,normal,normal,32481.0,364000.0,,166863.0,22099.0,,,0.0666666666666666,5,1,3,0
2020-03-15,วันอาทิตย์,0,normal,normal,28175.0,277000.0,,120636.0,16141.0,,,20.6,6,1,3,1
2020-03-16,วันจันทร์,1,normal,normal,51831.0,588000.0,,296128.0,39423.0,,,0.0,0,0,3,0
2020-03-17,วันอังคาร,1,normal,normal,47839.0,557000.0,,280304.0,37592.0,,,0.0,1,0,3,0
2020-03-18,วันพุธ,1,normal,normal,44180.0,510000.0,,261462.0,35225.0,,,0.0,2,0,3,0
2020-03-19,วันพหัสบดี,1,normal,normal,41765.0,476000.0,,241479.0,33092.0,,,0.0,3,0,3,0
2020-03-20,วันศุกร์,1,normal,normal,41006.0,461000.0,,233143.0,32212.0,,,0.0,4,0,3,0
2020-03-21,วันเสาร์,0,normal,normal,21144.0,221000.0,,99342.0,14364.0,,,0.0,5,1,3,0
2020-03-22,วันอาทิตย์,0,normal,normal,14347.0,119000.0,,52123.0,8269.0,,,0.0,6,1,3,0
2020-03-23,วันจันทร์,1,normal,normal,29655.0,317000.0,,163561.0,23568.0,,,0.0,0,0,3,0
2020-03-24,วันอังคาร,1,normal,normal,25153.0,272000.0,,140591.0,20781.0,,,0.0,1,0,3,0
2020-03-25,วันพุธ,1,normal,normal,23788.0,255000.0,,141478.0,26216.0,,,0.0,2,0,3,0
2020-03-26,วันพหัสบดี,1,normal,normal,20113.0,217400.0,,110364.0,15750.0,,,0.0,3,0,3,0
2020-03-27,วันศุกร์,1,normal,normal,19588.0,210500.0,,105158.0,14843.0,,,0.0,4,0,3,0
2020-03-28,วันเสาร์,0,normal,normal,9854.0,89600.0,,41266.0,6502.0,,,0.0,5,1,3,0
