วันที่,day_name,day_type,holiday_type,holiday_subject,ยานพาหนะ/ท่า,ปริมาณ
2020-01-23,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,868700.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,417066.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,50377.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,81197.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,887500.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,318958.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,31906.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,57376.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,616800.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,244187.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,25900.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,50164.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,527200.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,387600.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,49243.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,75843.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,827200.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,404920.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,51044.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,76150.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,852700.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,401754.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50013.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,74102.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,847400.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,402481.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,49927.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,78567.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,863200.0
2020-01-31,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,425928.0
2020-01-31,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,53171.0
2020-01-31,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,84351.0
2020-01-31,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,950500.0
2020-02-01,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,275879.0
2020-02-01,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,33234.0
2020-02-01,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,58430.0
2020-02-01,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,655000.0
2020-02-02,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,224924.0
2020-02-02,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,26922.0
2020-02-02,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,54023.0
2020-02-02,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,551700.0
2020-02-03,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,393006.0
2020-02-03,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,51217.0
2020-02-03,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,75965.0
2020-02-03,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,855800.0
2020-02-04,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,382133.0
2020-02-04,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,50610.0
2020-02-04,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,73907.0
2020-02-04,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,858600.0
2020-02-05,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,399754.0
2020-02-05,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50774.0
2020-02-05,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,75789.0
2020-02-05,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,862600.0
2020-02-06,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,399112.0
2020-02-06,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,50051.0
2020-02-06,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,79288.0
2020-02-06,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,859800.0
2020-02-07,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,423459.0
2020-02-07,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,53488.0
2020-02-07,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,80651.0
2020-02-07,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,931300.0
2020-02-08,วันเสาร์,0,holiday,วันมาฆบูชา,รถไฟฟ้าสายสีน้ำเงิน,256033.0
2020-02-08,วันเสาร์,0,holiday,วันมาฆบูชา,รถไฟฟ้าสายสีม่วง,29710.0
2020-02-08,วันเสาร์,0,holiday,วันมาฆบูชา,รถไฟฟ้า ARL,57520.0
2020-02-08,วันเสาร์,0,holiday,วันมาฆบูชา,รถไฟฟ้า BTS,603800.0
2020-02-09,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,201389.0
2020-02-09,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,23841.0
2020-02-09,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,50994.0
2020-02-09,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,455200.0
2020-02-10,วันจันทร์,0,holiday,วันหยุดชดเชย,รถไฟฟ้าสายสีน้ำเงิน,202436.0
2020-02-10,วันจันทร์,0,holiday,วันหยุดชดเชย,รถไฟฟ้าสายสีม่วง,24804.0
2020-02-10,วันจันทร์,0,holiday,วันหยุดชดเชย,รถไฟฟ้า ARL,49784.0
2020-02-10,วันจันทร์,0,holiday,วันหยุดชดเชย,รถไฟฟ้า BTS,459400.0
2020-02-11,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,386968.0
2020-02-11,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,50481.0
2020-02-11,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,70551.0
2020-02-11,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,815100.0
2020-02-12,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,391027.0
2020-02-12,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50682.0
2020-02-12,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,71848.0
2020-02-12,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,816400.0
2020-02-13,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,395453.0
2020-02-13,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,50713.0
2020-02-13,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,73272.0
2020-02-13,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,837300.0
2020-02-14,วันศุกร์,2,festival,วาเลนไทน์,รถไฟฟ้าสายสีน้ำเงิน,432048.0
2020-02-14,วันศุกร์,2,festival,วาเลนไทน์,รถไฟฟ้าสายสีม่วง,55575.0
2020-02-14,วันศุกร์,2,festival,วาเลนไทน์,รถไฟฟ้า ARL,79931.0
2020-02-14,วันศุกร์,2,festival,วาเลนไทน์,รถไฟฟ้า BTS,944700.0
2020-02-15,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,271721.0
2020-02-15,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,32661.0
2020-02-15,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,58659.0
2020-02-15,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,599400.0
2020-02-16,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,221245.0
2020-02-16,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,25563.0
2020-02-16,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,45572.0
2020-02-16,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,487100.0
2020-02-17,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,394847.0
2020-02-17,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,50592.0
2020-02-17,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,72562.0
2020-02-17,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,803100.0
2020-02-18,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,400256.0
2020-02-18,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,50389.0
2020-02-18,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,69714.0
2020-02-18,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,808100.0
2020-02-19,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,400052.0
2020-02-19,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,49515.0
2020-02-19,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,67729.0
2020-02-19,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,812400.0
2020-02-20,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,403491.0
2020-02-20,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,49447.0
2020-02-20,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,70699.0
2020-02-20,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,816100.0
2020-02-21,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,417255.0
2020-02-21,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,51616.0
2020-02-21,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,75307.0
2020-02-21,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,862200.0
2020-02-22,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,259431.0
2020-02-22,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,31904.0
2020-02-22,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,51213.0
2020-02-22,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,561900.0
2020-02-23,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,202282.0
2020-02-23,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,24839.0
2020-02-23,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,43833.0
2020-02-23,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,461200.0
2020-02-24,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,380686.0
2020-02-24,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,49089.0
2020-02-24,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,69091.0
2020-02-24,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,780200.0
2020-02-25,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,382353.0
2020-02-25,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,49350.0
2020-02-25,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,67954.0
2020-02-25,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,793600.0
