วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-04-13,0,สงกรานต์,14065,160300,not available,80730,12207,not available,not available,16.022222222222226,0
2020-04-14,0,สงกรานต์,13463,157300,not available,78226,12035,not available,not available,0.0222222222222222,1
2020-04-15,0,สงกรานต์,14010,160800,not available,81895,12317,not available,not available,0.0,2
2020-04-16,1,normal,13748,164500,not available,81586,12674,not available,not available,5.0,3
2020-04-17,1,normal,14452,168200,not available,83687,13121,not available,not available,2.822222222222222,4
2020-04-18,0,normal,7053,79800,not available,36456,6507,not available,not available,2.022222222222222,5
2020-04-19,0,normal,5567,56400,not available,26412,4738,not available,not available,0.977777777777778,6
2020-04-20,1,normal,15733,179900,not available,91951,14185,not available,not available,0.0444444444444444,0
2020-04-21,1,normal,14776,174900,not available,88817,13753,not available,not available,0.0,1
2020-04-22,1,normal,15374,176400,not available,90443,13653,not available,not available,0.0,2
2020-04-23,1,normal,14859,170500,not available,89194,13781,not available,not available,0.0,3
2020-04-24,1,normal,15524,181300,not available,91559,14131,not available,not available,0.0888888888888888,4
2020-04-25,0,normal,7409,82000,not available,37633,7081,not available,not available,28.666666666666668,5
2020-04-26,0,normal,5878,65900,not available,30528,5524,not available,not available,1.3999999999999997,6
2020-04-27,1,normal,16612,193200,not available,98678,15165,not available,not available,1.9777777777777776,0
2020-04-28,1,normal,16757,192100,not available,97973,14751,not available,not available,0.0,1
2020-04-29,1,normal,16745,194900,not available,98152,15090,not available,not available,14.533333333333337,2
2020-04-30,1,normal,18022,212200,not available,107261,16275,not available,not available,0.4222222222222223,3
2020-05-01,0,วันแรงงาน (เอกชน),9763,112200,not available,50418,10058,not available,not available,0.0222222222222222,4
2020-05-02,0,normal,8275,97600,not available,45956,8279,not available,not available,0.0,5
2020-05-03,0,normal,6949,86300,not available,39774,6970,not available,not available,0.0666666666666666,6
2020-05-04,0,วันฉัตรมงคล,9929,121200,not available,55738,9080,not available,not available,0.0,0
2020-05-05,1,normal,19081,233300,not available,122105,18425,not available,not available,0.0,1
2020-05-06,0,วันวิสาขบูชา,8727,109100,not available,53934,8227,not available,not available,0.0,2
2020-05-07,1,normal,19547,217400,not available,124014,18620,not available,not available,0.0,3
2020-05-08,1,normal,19539,240600,not available,122054,19023,not available,not available,0.0,4
