ยานพาหนะ/ท่า,วันที่,ปริมาณ
รถไฟฟ้าสายสีม่วง,2020-03-10,40610.0
รถไฟฟ้า ARL,2020-03-10,57369.0
รถไฟฟ้า BTS,2020-03-10,710000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-11,350732.0
รถไฟฟ้าสายสีม่วง,2020-03-11,43956.0
รถไฟฟ้า ARL,2020-03-11,59968.0
รถไฟฟ้า BTS,2020-03-11,691000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-12,345992.0
รถไฟฟ้าสายสีม่วง,2020-03-12,43475.0
รถไฟฟ้า ARL,2020-03-12,58376.0
รถไฟฟ้า BTS,2020-03-12,690000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-13,342285.0
รถไฟฟ้าสายสีม่วง,2020-03-13,43624.0
รถไฟฟ้า ARL,2020-03-13,58834.0
รถไฟฟ้า BTS,2020-03-13,686000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-14,166863.0
รถไฟฟ้าสายสีม่วง,2020-03-14,22099.0
รถไฟฟ้า ARL,2020-03-14,32481.0
รถไฟฟ้า BTS,2020-03-14,364000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-15,120636.0
รถไฟฟ้าสายสีม่วง,2020-03-15,16141.0
รถไฟฟ้า ARL,2020-03-15,28175.0
รถไฟฟ้า BTS,2020-03-15,277000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-16,296128.0
รถไฟฟ้าสายสีม่วง,2020-03-16,39423.0
รถไฟฟ้า ARL,2020-03-16,51831.0
รถไฟฟ้า BTS,2020-03-16,588000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-17,280304.0
รถไฟฟ้าสายสีม่วง,2020-03-17,37592.0
รถไฟฟ้า ARL,2020-03-17,47839.0
รถไฟฟ้า BTS,2020-03-17,557000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-18,261462.0
รถไฟฟ้าสายสีม่วง,2020-03-18,35225.0
รถไฟฟ้า ARL,2020-03-18,44180.0
รถไฟฟ้า BTS,2020-03-18,510000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-19,241479.0
รถไฟฟ้าสายสีม่วง,2020-03-19,33092.0
รถไฟฟ้า ARL,2020-03-19,41765.0
รถไฟฟ้า BTS,2020-03-19,476000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-20,233143.0
รถไฟฟ้าสายสีม่วง,2020-03-20,32212.0
รถไฟฟ้า ARL,2020-03-20,41006.0
รถไฟฟ้า BTS,2020-03-20,461000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-21,99342.0
รถไฟฟ้าสายสีม่วง,2020-03-21,14364.0
รถไฟฟ้า ARL,2020-03-21,21144.0
รถไฟฟ้า BTS,2020-03-21,221000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-22,52123.0
รถไฟฟ้าสายสีม่วง,2020-03-22,8269.0
รถไฟฟ้า ARL,2020-03-22,14347.0
รถไฟฟ้า BTS,2020-03-22,119000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-23,163561.0
รถไฟฟ้าสายสีม่วง,2020-03-23,23568.0
รถไฟฟ้า ARL,2020-03-23,29655.0
รถไฟฟ้า BTS,2020-03-23,317000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-24,140591.0
รถไฟฟ้าสายสีม่วง,2020-03-24,20781.0
รถไฟฟ้า ARL,2020-03-24,25153.0
รถไฟฟ้า BTS,2020-03-24,272000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-25,141478.0
รถไฟฟ้าสายสีม่วง,2020-03-25,26216.0
รถไฟฟ้า ARL,2020-03-25,23788.0
รถไฟฟ้า BTS,2020-03-25,255000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-26,110364.0
รถไฟฟ้าสายสีม่วง,2020-03-26,15750.0
รถไฟฟ้า ARL,2020-03-26,20113.0
รถไฟฟ้า BTS,2020-03-26,217400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-27,105158.0
รถไฟฟ้าสายสีม่วง,2020-03-27,14843.0
รถไฟฟ้า ARL,2020-03-27,19588.0
รถไฟฟ้า BTS,2020-03-27,210500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-28,41266.0
รถไฟฟ้าสายสีม่วง,2020-03-28,6502.0
รถไฟฟ้า ARL,2020-03-28,9854.0
รถไฟฟ้า BTS,2020-03-28,89600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-29,28069.0
รถไฟฟ้าสายสีม่วง,2020-03-29,4228.0
รถไฟฟ้า ARL,2020-03-29,9436.0
รถไฟฟ้า BTS,2020-03-29,62500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-30,99882.0
รถไฟฟ้าสายสีม่วง,2020-03-30,14182.0
รถไฟฟ้า ARL,2020-03-30,18255.0
รถไฟฟ้า BTS,2020-03-30,202000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-31,98342.0
รถไฟฟ้าสายสีม่วง,2020-03-31,13926.0
รถไฟฟ้า ARL,2020-03-31,17757.0
รถไฟฟ้า BTS,2020-03-31,197000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-01,94105.0
รถไฟฟ้าสายสีม่วง,2020-04-01,13472.0
รถไฟฟ้า ARL,2020-04-01,16626.0
รถไฟฟ้า BTS,2020-04-01,189500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-02,87539.0
รถไฟฟ้าสายสีม่วง,2020-04-02,12780.0
รถไฟฟ้า ARL,2020-04-02,15554.0
รถไฟฟ้า BTS,2020-04-02,175500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-03,87026.0
รถไฟฟ้าสายสีม่วง,2020-04-03,12931.0
รถไฟฟ้า ARL,2020-04-03,15419.0
รถไฟฟ้า BTS,2020-04-03,176500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-04,35134.0
รถไฟฟ้าสายสีม่วง,2020-04-04,6118.0
รถไฟฟ้า ARL,2020-04-04,7393.0
รถไฟฟ้า BTS,2020-04-04,79900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-05,24355.0
รถไฟฟ้าสายสีม่วง,2020-04-05,4137.0
รถไฟฟ้า ARL,2020-04-05,5430.0
รถไฟฟ้า BTS,2020-04-05,57300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-06,31235.0
รถไฟฟ้าสายสีม่วง,2020-04-06,5564.0
รถไฟฟ้า ARL,2020-04-06,7344.0
รถไฟฟ้า BTS,2020-04-06,78400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-07,89515.0
รถไฟฟ้าสายสีม่วง,2020-04-07,13179.0
รถไฟฟ้า ARL,2020-04-07,15516.0
รถไฟฟ้า BTS,2020-04-07,178700.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-08,83999.0
รถไฟฟ้าสายสีม่วง,2020-04-08,12569.0
รถไฟฟ้า ARL,2020-04-08,14655.0
รถไฟฟ้า BTS,2020-04-08,167100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-09,81883.0
รถไฟฟ้าสายสีม่วง,2020-04-09,12451.0
รถไฟฟ้า ARL,2020-04-09,14160.0
รถไฟฟ้า BTS,2020-04-09,164600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-10,83856.0
รถไฟฟ้าสายสีม่วง,2020-04-10,12790.0
รถไฟฟ้า ARL,2020-04-10,14169.0
รถไฟฟ้า BTS,2020-04-10,167500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-11,34851.0
รถไฟฟ้าสายสีม่วง,2020-04-11,6080.0
รถไฟฟ้า ARL,2020-04-11,6920.0
รถไฟฟ้า BTS,2020-04-11,76800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-12,23966.0
รถไฟฟ้าสายสีม่วง,2020-04-12,4263.0
รถไฟฟ้า ARL,2020-04-12,5182.0
รถไฟฟ้า BTS,2020-04-12,56100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-13,80730.0
รถไฟฟ้าสายสีม่วง,2020-04-13,12207.0
รถไฟฟ้า ARL,2020-04-13,14065.0
รถไฟฟ้า BTS,2020-04-13,160300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-14,78226.0
รถไฟฟ้าสายสีม่วง,2020-04-14,12035.0
รถไฟฟ้า ARL,2020-04-14,13463.0
รถไฟฟ้า BTS,2020-04-14,157300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-15,81895.0
รถไฟฟ้าสายสีม่วง,2020-04-15,12317.0
รถไฟฟ้า ARL,2020-04-15,14010.0
รถไฟฟ้า BTS,2020-04-15,160800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-16,81586.0
รถไฟฟ้าสายสีม่วง,2020-04-16,12674.0
รถไฟฟ้า ARL,2020-04-16,13748.0
รถไฟฟ้า BTS,2020-04-16,164500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-17,83687.0
รถไฟฟ้าสายสีม่วง,2020-04-17,13121.0
รถไฟฟ้า ARL,2020-04-17,14452.0
รถไฟฟ้า BTS,2020-04-17,168200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-18,36456.0
รถไฟฟ้าสายสีม่วง,2020-04-18,6507.0
รถไฟฟ้า ARL,2020-04-18,7053.0
รถไฟฟ้า BTS,2020-04-18,79800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-19,26412.0
รถไฟฟ้าสายสีม่วง,2020-04-19,4738.0
รถไฟฟ้า ARL,2020-04-19,5567.0
รถไฟฟ้า BTS,2020-04-19,56400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-20,91951.0
รถไฟฟ้าสายสีม่วง,2020-04-20,14185.0
รถไฟฟ้า ARL,2020-04-20,15733.0
รถไฟฟ้า BTS,2020-04-20,179900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-21,88817.0
รถไฟฟ้าสายสีม่วง,2020-04-21,13753.0
รถไฟฟ้า ARL,2020-04-21,14776.0
รถไฟฟ้า BTS,2020-04-21,174900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-22,90443.0
รถไฟฟ้าสายสีม่วง,2020-04-22,13653.0
รถไฟฟ้า ARL,2020-04-22,15374.0
รถไฟฟ้า BTS,2020-04-22,176400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-23,89194.0
รถไฟฟ้าสายสีม่วง,2020-04-23,13781.0
รถไฟฟ้า ARL,2020-04-23,14859.0
รถไฟฟ้า BTS,2020-04-23,170500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-24,91559.0
รถไฟฟ้าสายสีม่วง,2020-04-24,14131.0
รถไฟฟ้า ARL,2020-04-24,15524.0
รถไฟฟ้า BTS,2020-04-24,181300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-25,37633.0
รถไฟฟ้าสายสีม่วง,2020-04-25,7081.0
รถไฟฟ้า ARL,2020-04-25,7409.0
รถไฟฟ้า BTS,2020-04-25,82000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-26,30528.0
รถไฟฟ้าสายสีม่วง,2020-04-26,5524.0
รถไฟฟ้า ARL,2020-04-26,5878.0
รถไฟฟ้า BTS,2020-04-26,65900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-04-27,98678.0
รถไฟฟ้าสายสีม่วง,2020-04-27,15165.0
รถไฟฟ้า ARL,2020-04-27,16612.0
